FID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,INTPTLAT10,INTPTLON10,State,COUNTY,HH_COUNT,OHU_OWN,OHU_RENT,PERC_OWN,PERC_RENT,MHI,MED_VAL,HOUSINGCOS,MCR_ANNUAL,MSMOC_TOT_,TAX_RET,Avg_TransC,REtaxperow,DISP_INC,energy_cos,REtax_ACS,AVG_TTL,LOCALNAME,Shape_Area
0,34,17,32400,34017032400,40.7928438,-74.0134817,New Jersey,Hudson County,2187,453,1543,0.226953908,0.773046092,37234,414000,14075.6994,11532,22740,2264.889916,4145.566539,4966.370331,12232.0095,1773.280152,7735,5007.444405,West New York Town,3.62E-05
1,34,17,10100,34017010100,40.6915587,-74.1109135,New Jersey,Hudson County,2255,867,1353,0.390540541,0.609459459,53614,424400,17543.1405,10968,27804,2363.430717,5969.286255,4490.984109,22077.84024,1876.844806,7917,6146.888195,Bayonne City,0.000105572
2,34,17,10200,34017010200,40.6821027,-74.1045734,New Jersey,Hudson County,1218,622,686,0.475535168,0.524464832,54020,328300,19156.2936,11076,28068,1260.718928,6014.489564,3339.22458,20488.60531,2167.175106,7692,6193.436421,Bayonne City,3.13E-05
3,34,17,10300,34017010300,40.6724389,-74.0810163,New Jersey,Hudson County,1093,534,629,0.459157352,0.540842648,43101,363000,15682.0705,9792,22620,1229.562591,4798.787758,3793.386763,15514.61337,2163.964082,7831,4941.564294,Bayonne City,0.000107821
4,34,17,10400,34017010400,40.6705993,-74.0899401,New Jersey,Hudson County,1571,813,785,0.508760951,0.491239049,68368,365600,15672.0976,10440,20724,2209.874484,7611.970058,4478.110461,35131.00534,2114.480847,7918,7838.446154,Bayonne City,0.000234436
5,34,17,10500,34017010500,40.6828016,-74.1144977,New Jersey,Hudson County,2126,928,1208,0.434456929,0.565543071,57255,373700,15935.1011,10560,22932,2401.263412,6374.668641,4262.943411,26533.77878,1847.11971,8563,6564.331771,Bayonne City,9.63E-05
6,34,17,10600,34017010600,40.6703152,-74.126465,New Jersey,Hudson County,2860,960,1859,0.340546293,0.659453707,44093,351000,12251.1486,8892,18756,3211.328178,4909.235253,5511.009976,20068.55733,1808.760929,7622,5055.297892,Bayonne City,6.35E-05
7,34,17,10700,34017010700,40.668187,-74.1139605,New Jersey,Hudson County,1457,543,919,0.371409029,0.628590971,35984,348000,16411.2066,10020,27228,2935.372049,4006.393789,8905.966662,9521.31211,1919.492978,7723,4125.594524,Bayonne City,4.09E-05
8,34,17,10800,34017010800,40.6620572,-74.0966475,New Jersey,Hudson County,1214,726,520,0.582664526,0.417335474,80156,362300,14468.1284,10224,17508,1329.70796,8924.424759,3017.431279,45263.96035,2309.536658,7534,9189.949829,Bayonne City,0.000489058
9,34,17,10900,34017010900,40.6611585,-74.1183391,New Jersey,Hudson County,884,191,686,0.217787913,0.782212087,24911,368800,12730.9738,8424,28200,1069.33,2773.5459,9223.507896,4872.965641,1677.448486,9901,2856.066173,Bayonne City,3.03E-05
